city,three_year_pct_growth,employee_growth,num_employees,industry,rank,revenue_2007,founded,state,link,revenue_2010,industry_rank,blurb,company_name
Greenville,3121,9,12,Consumer Products & Services,73,191737.0,2005,SC,http://www.SouthernTide.com,6200000.0,6,Designs and sells men's sportswear through more than 425 retailers as well as its online store.,Southern Tide
New York,40882,140,145,Retail,1,189510.0,2006,NY,http://www.ideeli.com,77700000.0,1,"A members-only retail site offering a curated selection of apparel, accessories, shoes, and home and travel items. Each sale starts at noon EST and lasts 40 hours. The shopping site has more than 4 million members.",ideeli
Oklahoma City,3068,59,60,Real Estate,75,120000.0,2006,OK,http://www.pointe-vista.com,3800000.0,2,"A planned residential community in development on Lake Texoma in Oklahoma and Texas, with luxury features including a hotel, golf course, convention center, marina, and resort.",Pointe Vista Development
Baltimore,3080,126,162,Advertising & Marketing,74,1500000.0,2006,MD,http://www.MillennialMedia.com,47800000.0,8,"Specializes in mobile advertising, helping publishers and developers to maximize ad revenue, mobile operators to further monetize their networks, and advertisers to reach mobile consumers. In February 2010, Millennial Media acquired San Francisco-based TapMetrics, a mobile analytics firm focused on application usage and behavior.",Millennial Media
Huntington Beach,3013,9,17,Advertising & Marketing,78,342599.0,2005,CA,http://www.LeadResearchGroup.com,10700000.0,10,"Creates and manages lead generation campaigns for TV, radio, Internet, and direct mail for a variety of industries.",Lead Research Group
New York,3064,20,25,Advertising & Marketing,76,120000.0,2006,NY,http://www.spongecell.com,3800000.0,9,A creative technology company that transforms standard banner ads into dynamic flash ads with rich media-like functionality.,Spongecell
Emeryville,3054,19,21,Food & Beverage,77,488177.0,2007,CA,http://www.Nest-Collective.com,15400000.0,3,"With a mission to improve the health of the next generation, Nest Collective distributes Plum Organics premium organic baby and toddler food as well as Revolution Foods, a line of organic snacks for schoolkids. A percentage of Revolution Foods' product sales go toward school lunch programs at under-served schools.",Nest Collective
New York,3135,14,15,IT Services,72,179589.0,2007,NY,http://www.TekScapeIT.com,5800000.0,3,"An IT provider that helps clients with management of remote workforces, integration of mobile devices, data security, and collaboration across multiple locations.",TekScape
Fort Collins,3179,240,270,Consumer Products & Services,70,5100000.0,1998,CO,http://www.OtterBox.com,168900000.0,5,Designs and makes rugged and semi-rugged cases to safeguard mobile electronics devices and other valuables.,OtterBox
Rowlett,3224,14,20,Telecommunications,66,4100000.0,1994,TX,http://www.LinkAM.com,136300000.0,3,"Serves the telecommunications industry with equipment, warehouse management services and logistics, engineering, and integration services. It also offers professional radio frequency design, tower construction, and engineering integration for wireless communication networks across the Americas. Link America is an innovator in deploying advanced services in the 4.9 GHz licensed wireless spectrum for government and nongovernment public safety networks (police, fire, search and rescue, EMS, municipalities, and utilities).",Link America
Clearwater,3159,48,53,Software,71,210550.0,2005,FL,http://www.AutoLoop.us,6900000.0,10,"Makes software for the auto industry that features vehicle service scheduling, automated notifications, loyalty programs, customer data management, and electronic service menus.",AutoLoop
New York,3207,44,68,Food & Beverage,68,402405.0,2003,NY,http://www.HappyBabyFood.com,13300000.0,2,Makes organic food and snacks for babies and children.,HappyBaby
King Of Prussia,3213,58,70,Software,67,296258.0,2006,PA,http://www.NextDocs.com,9800000.0,9,"Customizes and extends the functionality of Microsoft SharePoint 2010 software for clients in highly regulated industries. Businesses also use its products and services for centralized and consolidated tracking, workflow management, and reporting for critical business processes.",NextDocs
The Woodlands,3249,6,10,Health,65,112000.0,2006,TX,http://www.PetRays.com,3800000.0,3,"Consult with their client vet practices over the phone and help them interpret x-ray, ultrasound, CT, and MRI exams, helping veterinarians improve the speed and quality of animal health care.",PetRays
Lenexa,3389,33,35,Government Services,64,224489.0,2005,KS,http://www.RhythmTraffic.com,7800000.0,10,"Develops and sells technology that enables traffic signals to respond to traffic demand in real time, resulting in up to 90% fewer stops and 20%-30% lower fuel consumption and emissions. Its system, InSync, is installed or contracted to be installed at more than 350 intersections nationwide.",Rhythm Engineering
North Las Vegas,2677,6,12,Construction,98,149696.0,2007,NV,http://www.CadillacStoneWorks.com,4200000.0,2,"A fabricator of granite, marble, metal, and glass that makes and installs counter tops, floor medallions, waterfalls, and custom inlays. Its installation division focuses mostly on large casino projects.",Cadillac Stone Works
Jenks,2661,62,65,Energy,100,536446.0,2006,OK,http://www.CheckSix.us,14800000.0,7,"Applies the knowledge and experience of its staff (former Navy SEALS and fighter pilots) to improve safety and operational performance in the hazardous environments of oil rigging. Its multilingual coaches are currently deployed in more than 70 locations across the globe, including Ghana, Alaska, Brazil, Norway, and Malaysia.",Check-6
Miami,2679,18,20,Health,97,356324.0,2007,FL,http://www.PureFormulas.com,9900000.0,5,"An online retailer of more than 14,000 pharmaceutical-grade nutritional supplements.",PureFormulas.com
Cambridge,2689,5,10,Consumer Products & Services,96,117351.0,2006,MA,http://www.CarGurus.com,3300000.0,11,"A comparison shopping site for automobiles that uses proprietary pricing algorithms to analyze millions of new and used car listings to help consumers find the best dealsand avoid bad dealsin their local area. Users share information, including reviews of dealers, mechanics, and cars and advice on other car topics.",CarGurus
Chicago,2706,8,10,Business Products & Services,95,121994.0,2005,IL,http://www.AvondaleConsulting.com,3400000.0,6,A business consultancy that advises corporations on how to create profitable growth and increase their value of their business and prepares them to make acquisitions.,Avondale Consulting
Denver,2673,695,780,Food & Beverage,99,1400000.0,2006,CO,http://www.smashburger.com,39400000.0,4,"A restaurant chain with more than 100 locations throughout the U.S. serving burgers, chicken sandwiches, and salads.",Smashburger
Bay Harbor Islands,2717,5,9,Financial Services,94,129278.0,2007,FL,http://www.1stMerchantFunding.com,3600000.0,8,"Provides cash advances against future credit card sales for small and midsize businesses with bad credit. Customers can increase the amount of the advance with each renewal to build up a healthy transaction history and eventually be eligible for more traditional business loans. Businesses typically use the advances to fund expansion, purchase equipment and inventory, increase advertising, manage unexpected expenses, and take advantage of seasonal opportunities.",1st Merchant Funding
New York,2744,57,62,Consumer Products & Services,93,1300000.0,2005,NY,http://www.international-inspirations.com,37900000.0,10,"Designs, imports, and sells costume jewelry to specialty stores across the United States and Canada.",International Inspirations
